source,category,mesh,source_material,texture_family,resolution_method,base_color,normal,roughness,metallic,ao,emission,alpha
FBX/Metal Sheets/SM_3DT_MetalSheet_01.fbx,Metal Sheets,SM_3DT_MetalSheet_01,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Metal Sheets/SM_3DT_MetalSheet_010.fbx,Metal Sheets,SM_3DT_MetalSheet_010,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Metal Sheets/SM_3DT_MetalSheet_011.fbx,Metal Sheets,SM_3DT_MetalSheet_011,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Metal Sheets/SM_3DT_MetalSheet_02.fbx,Metal Sheets,SM_3DT_MetalSheet_02,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Metal Sheets/SM_3DT_MetalSheet_03.fbx,Metal Sheets,SM_3DT_MetalSheet_03,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Metal Sheets/SM_3DT_MetalSheet_04.fbx,Metal Sheets,SM_3DT_MetalSheet_04,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Metal Sheets/SM_3DT_MetalSheet_05.fbx,Metal Sheets,SM_3DT_MetalSheet_05,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Metal Sheets/SM_3DT_MetalSheet_06.fbx,Metal Sheets,SM_3DT_MetalSheet_06,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Metal Sheets/SM_3DT_MetalSheet_07.fbx,Metal Sheets,SM_3DT_MetalSheet_07,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Metal Sheets/SM_3DT_MetalSheet_08.fbx,Metal Sheets,SM_3DT_MetalSheet_08,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Metal Sheets/SM_3DT_MetalSheet_09.fbx,Metal Sheets,SM_3DT_MetalSheet_09,Metal Sheets,Metal Sheets,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Metal Sheets/T_3DT_Metal Sheets_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_01.fbx,Pipes,SM_3DT_Pipe_01,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_011.fbx,Pipes,SM_3DT_Pipe_011,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_02.fbx,Pipes,SM_3DT_Pipe_02,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_03.fbx,Pipes,SM_3DT_Pipe_03,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_04.fbx,Pipes,SM_3DT_Pipe_04,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_05.fbx,Pipes,SM_3DT_Pipe_05,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_06.fbx,Pipes,SM_3DT_Pipe_06,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_07.fbx,Pipes,SM_3DT_Pipe_07,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_08.fbx,Pipes,SM_3DT_Pipe_08,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_09.fbx,Pipes,SM_3DT_Pipe_09,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_A_01.fbx,Pipes,SM_3DT_Pipe_Piece_A_01,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
FBX/Pipes/SM_3DT_Pipe_Piece_A_02.fbx,Pipes,SM_3DT_Pipe_Piece_A_02,Pipes,Pipes,normalized_exact,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_BaseColor.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_OpenGL_Normal.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Roughness.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_Metallic.png,assets/environment/3DT_Cyberpunk_Downtown/Textures/Pipes/T_3DT_Pipes_AmbientOcclusion.png,,
